id,area,intent,prompt,completion
14,ExperienceProjects,Experience,Has Charlie worked with machine learning before?,Charlie has completed various interesting machine learning projects.
15,ExperienceProjects,Experience,What projects has Charlie completed?,Charlie has a diverse portfolio of machine learning projects.
16,ExperienceProjects,ProgrammingLanguages,What programming language is Charlie proficient in?,Charlie is proficient in Python.
17,ExperienceProjects,ProgrammingLanguages,Which programming languages can Charlie use?,"Charlie can use Python, C# and C++"
18,ExperienceProjects,ProgrammingLanguages,Which programming languages does Charlie know?,"Charlie knows Python, C# and C++"
19,ExperienceProjects,Frameworks,What programming libaries does Charlie work with?,"Charlie works with Pandas, Numpy, Tensorflow, Keras, Pytorch, scikit-learn, NLTK, Django, Docker, Kubernetes."
20,ExperienceProjects,NLPFrameworks,What NLP frameworks does Charlie know?,"Charlie knows NLTK, Tensorflow, Keras."
21,ExperienceProjects,Frameworks,What frameworks does Charlie know?,"Charlie knows Pandas, Numpy, Tensorflow, Keras, Pytorch, scikit-learn, NLTK, Django, Docker, Kubernetes."
22,ExperienceProjects,MLFrameworks,What machine learning frameworks does Charlie know?,"Charlie knows Pandas, Numpy, Tensorflow, Keras, Pytorch, scikit-learn, NLTK."
23,ExperienceProjects,Experience,What is Charlie's experience in machine learning?,"Charlie has worked with CNNs, RNNs, Transformers, Ensembles of boosting models, regression models, SVMs."
24,ExperienceProjects,Experience,What is Charlie's experience?,Charlie has worked for 3 years as a software engineer.
25,ExperienceProjects,Algorithms,What machine learning algorithms has Charlie worked with?,"Charlie has worked with CNNs, RNNs, Transformers, Ensembles of boosting models, regression models, SVMs."
26,ExperienceProjects,Algorithms,What machine learning architecture has Charlie worked with?,"Charlie has worked with CNNs, RNNs, Transformers, Ensembles of boosting models, regression models, SVMs."
27,ExperienceProjects,Experience,What professional experience does Charlie have?,Charlie has worked as a Software Engineer for over 3 years.
28,ExperienceProjects,Experience,What experience does Charlie have?,"Charlie has worked with CNNs, RNNs, Transformers, Ensembles of boosting models, regression models, SVMs."
48,ExperienceProjects,IsGood,Is Charlie a good fit for the job?,Charlie is a great fit for the job!
55,ExperienceProjects,Responsibilities,What did Charlie do at his old job?,"Charlie's responsiblities include establishing requirements and specification, calculating bid proposals, software development, commissioning plants."
56,ExperienceProjects,Responsibilities,What does Charlie do at his job?,"Charlie's responsiblities include establishing requirements and specification, calculating bid proposals, software development, commissioning plants."
57,ExperienceProjects,Responsibilities,What does Charlie do at Bilfinger?,"Charlie's responsiblities include establishing requirements and specification, calculating bid proposals, software development, commissioning plants."
58,ExperienceProjects,Responsibilities,What are Charlie's tasks and responsibilities?,"Charlie's responsiblities include establishing requirements and specification, calculating bid proposals, software development, commissioning plants."
71,ExperienceProjects,WhatJob,What does Charlie do for work?,Charlie is currently a Software Engineer.
72,ExperienceProjects,WhatJob,Where does Charlie work?,Charlie works for Bilfinger Life Science Automation GmbH.
74,ExperienceProjects,WhyJob,Why does Charlie want this job?,Charlie loves to create with machine learning.
1,Factual,Age,How old is Charlie?,Charlie is 28 years old.
2,Factual,Age,What is Charlie's age?,Charlie is 28 years old.
5,Factual,Birthday,What day is Charlie's birthday?,Charlie's birthday is the 14. September
6,Factual,Birthday,When is Charlie's birthday?,Charlie's birthday is the 14. September
31,Factual,EyeColour,What is Charlie's eye colour?,Charlie's eyes are brown.
32,Factual,EyeColour,What colour are Charlie's eyes?,Charlie has brown eyes.
33,Factual,Family,Does Charlie have a family?,"Charlie has a mother, father and 4 brothers."
34,Factual,Family,Who are Charlie's family?,"Charlie has a mother, father and 4 brothers."
35,Factual,Gender,What is Charlie's gender?,Charlie is a man.
36,Factual,Gender,What gender is Charlie?,Charlie is male.
39,Factual,HairColour,What is Charlie's hair colour?,Charlie's hair is brown.
40,Factual,HairColour,What colour is Charlie's hair?,Charlie has brown hair.
41,Factual,Height,How tall is Charlie?,Charlie is 180cm tall.
42,Factual,Height,What is Charlie's height?,Charlie is 180cm tall.
44,Factual,Hometown,Where did Charlie grow up?,"Charlie grew up in Folkestone, England."
45,Factual,Hometown,Where is Charlie from?,"Charlie is from Folkestone, England"
49,Factual,Live,Where does Charlie live?,"Charlie lives in Berlin, Germany."
67,Factual,Weight,How much does Charlie weigh?,Charlie weighs 83kg
68,Factual,Weight,How heavy is Charlie?,Charlie weighs 83kg
