,intent,prompt
0,Family,Who are Charlie's family?
1,NLPFrameworks,What do NLP frameworks Charlie now?
2,German,Is Charlie able to speak German?
3,WhatJob,Where does Charlie earn a living?
4,ProgrammingLanguages,which programming languages is Charlie proficient?
5,School,Which school did Charlie attend?
6,Experience,What does Charlie think about machine learning?
7,Studies,What was Charlie's area of study? 
8,FavouriteSong,t is the name of Charlie's favourite song?
9,HairColour,at tones are in Charlie's hair? 
10,MusicGenre,What kind of music is Charlie's favourite?
11,TV,Which television program does Charlie prefer over all others?
12,CatsDogs,Does Charlie like cats or dogs?
13,Height,How many inches tall is Charlie?
14,MusicGenre,What style of music does Charlie favor?
15,MusicArtist,Who is Charlie's favorite musical artist?
16,Height,What is Charlie's height?
17,WhatJob,at line of work is Charlie in? 
18,Responsibilities,What does Charlie do at Bilfinger?
19,ProgrammingLanguages,"I'm wondering, what programming languages does Charlie have experience with?"
20,RemoteWork,at is Charlie's opinion on working from a distance? 
21,Hometown,Charlie is from where?
22,FavouriteBook,hat is CHARLIE'S FAVORITE BOOK
23,MLFrameworks,hat machine learning frameworks does Charlie understand?
24,Frameworks,Can you tell me what programming libraries Charlie works with?
25,German,What languages is Charlie able to speak?
26,Responsibilities,hat is Charlie's job?
27,Hometown,hat was Charlie's upbringing?
28,Experience,What kind of professional experience does Charlie have?
29,Gender,What gender is Charlie?
30,Gender,ho is Charlie's gender?
31,Responsibilities,hat line of work isCharlie in?
32,FavouriteBook,What is Charlie's favouritebook?
33,Age,Do you know how old Charlie is?
34,FavouriteSong,ch melody does Charlie have as his favourite?
35,Experience,I'm wondering what experience Charlie has.
36,HairColour,at colors make up Charlie's hair?
37,Family,Who are Charlie's siblings?
38,WhyJob,What makes Charlie think he would be good at this job?
39,Weight,How much does Charlie weigh in pounds?
40,Experience,What experience does Charlie have?
41,Experience,What professional experience does Charlie bring to the table?
42,FavouriteBook, wonder if Charlie has a favourite book?
43,Height,"Tell me, what is Charlie's height?"
44,WhyBerlin,What made Charlie decide to move to Berlin?
45,HairColour,What is Charlie's hair colour?
46,MLFrameworks,ow many machine learning frameworks does Charlie know?
47,Hobbies,What are Charlie's hobbies?
48,Experience,Was Charlie previously involved with machine learning?
49,Frameworks,Which frameworks does Charlie know?
50,Experience,Has Charlie used machine learning before?
51,Studies,What did Charlie study?
52,Family,Who is Charlie's family?
53,Hometown,Where is Charlie from?
54,Responsibilities,What role does Charlie play at Bilfinger?
55,IsGood,Would Charlie excel in this role?
56,Age,What is Charlie's age?
57,GuitarMusic,How long ago did Charlie start playing guitar?
58,GuitarMusic,Has Charlie been playing guitar for a while?
59,MusicGenre,Which kind of music does Charlie like best?
60,German,What languages does Charlie know how to speak?
61,WhatJob,What does Charlie do for work?
62,Interests,"HeyCharlie, what kinda stuff you like?"
63,Experience,What has Charlie been through in regards to machine learning?
64,Studies,Which university did Charlie attend?
65,Algorithms,Which machine learning algorithms is Charlie experienced with?
66,WhyJob,Why is this job appealing to Charlie?
67,ProgrammingLanguages,Does Charlie know any programming languages?
68,Studies,at did Charlie study at University?
69,Responsibilities,What are Charlie's duties?
70,Live,Where does Charlie reside?
71,Algorithms,What machine learning algorithms is Charlie familiar with?
72,MusicArtist,Who does Charlie think is the best musical artist?
73,CatsDogs,Do you want a cat or a dog?
74,Age,How old will Charlie be in a certain year?
75,MLFrameworks,an you list the machine learning frameworks that Charlie knows?
76,CatsDogs,hat does Charlie like- cats or dogs?
77,Hometown,here did Charlie come from?
78,Colour,What is Charlie's favourite colour?
79,Experience,Has Charlie had experience with machine learning in the past?
