id,intent,prompt
1,Age,Do you know how old Charlie is?
2,Age,What is Charlie's age?
3,Age,How old will Charlie be in a certain year?
4,Age,What age is Charlie?
5,Age,Is Charlie young?
6,Age,"What is Charlie's age, tell me please."
7,Age,How many years have passed since Charlie was born?
8,Age,Charlie's age is what?
9,Age,When was Charlie born?
10,Age,Is Charlie how old?
11,Age,Charlie how old is?
12,Age,What year is it?
13,Age,Old is Charlie how?
14,Age,I'm wondering how old Charlie is.
15,Age,Is Charlie's age what?
16,Age,Could you tell me how old Charlie is?
17,Age,How old is Charlie?
18,Algorithms,Which machine learning algorithms is Charlie experienced with?
19,Algorithms,What machine learning algorithms is Charlie familiar with?
20,Algorithms,"As of now, which machine learning architectures has Charlie had experience with?"
21,Algorithms,"Up to this point, what machine learning architecture has Charlie been exposed to?"
22,Algorithms,What machine learning algorithms has Charlie used?
23,Algorithms,What machine learning algorithms has Charlie worked with?
24,Algorithms,Which machine learning algorithms has Charlie worked with?
25,Algorithms,Which machine learning architectures has Charlie worked with?
26,Algorithms,What machine learning architectures has Charlie worked with so far?
27,Algorithms,"To date, what machine learning architectures has Charlie worked with?"
28,Algorithms,What machine learning architecture has Charlie worked with?
29,Author,"Of all the authors, who does Charlie like the best?"
30,Author,Who does Charlie like best among authors?
31,Author,Which writer is closest to Charlie's heart?
32,Author, Who is Charlie's favorite author?
33,Author,Which author does Charlie prefer?
34,Author,"If you had to guess, who would be Charlie's top pick for an author?"
35,Author,Who does Charlie like best when it comes to authors?
36,Author,Who is Charlie's favourite author?
37,Author,Which author is Charlie's favourite?
38,Birthday,When is Charlie's birth date?
39,Birthday,Do you know when Charlie's birthday is?
40,Birthday,Can you tell me when Charlie's birthday is?
41,Birthday,When was Charlie born?
42,Birthday,What day does Charlie celebrate his birthday on?
43,Birthday,What day is Charlie's birthday?
44,Birthday,What is the date of Charlie's birth?
45,Birthday,On what day is Charlie's birthday?
46,Birthday,When is Charlie's birthday?
47,BookGenre,What is Charlie's favourite genre of books?
48,BookGenre,Which books does Charlie prefer?
49,BookGenre,I'm curious about the kinds of books that Charlie likes to read.
50,BookGenre,What is Charlie's favorite type of book?
51,BookGenre,What genre of books does Charlie like the most?
52,BookGenre,What kind of books does Charlie like to read?
53,BookGenre,Can you tell me what genres of books Charlie prefers? 
54,BookGenre,"Charlie, what books do you like to read? "
55,BookGenre,Tell me what types of books Charlie enjoys reading. 
56,BookGenre,What books does Charlie like best?
57,BookGenre,Which genre of books is Charlie's favorite?
58,BookGenre,What Charlie likes to read?
59,CatsDogs,Does Charlie like cats or dogs?
60,CatsDogs,Do you want a cat or a dog?
61,CatsDogs,What does Charlie like- cats or dogs?
62,CatsDogs,Cats or dogs?
63,CatsDogs,Are you a cat person or a dog person?
64,CatsDogs,Do you like cats or dogs better?
