,intent,prompt,completion
0,MusicGenre,What kind of music is Charlie's favourite?,"Charlie's favourite music genre is rock, but his favourite artist is Bliss, who makes psytrance music."
1,MusicGenre,What kind of music does Charlie like?,"Charlie's favourite artist is Bliss, who makes psytrance music."
2,MusicGenre,What kind of music is Charlie fond of?,"Rock is Charlie's favourite genre, but his favourite artist is psytrance."
3,MusicGenre,What kind of music do you like?,"Charlie's favourite genre of music is rock, but his favourite artist is psytrance."
4,MusicGenre,What kind of music is Charlie into?,"Rock is Charlie's favourite music genre, but his favourite artist is psytrance."
5,MusicGenre,What kind of music is Charlie's favorite?,"Rock is Charlie's favourite genre, but his favorite artist is psytrance."
6,MusicGenre,What kind of music do you prefer?,"Charlie's favourite artist is Bliss, who makes psytrance music, but he also likes rock."
7,MusicGenre,Which kind of music is Charlie's favorite?,"Charlie's favourite artist is Bliss, who makes psytrance music, but he prefers rock."
8,MusicGenre,What type of music does Charlie like?,"Charlie's favourite genre of music is rock, but his favourite artist is Bliss."
9,MusicGenre,Which kind of music is Charlie's favourite?,"Charlie's favourite artist is Bliss, who makes psytrance music, but he loves rock."
10,MusicGenre,What kind of music do Charlie like?,"Rock is Charlie's favourite music genre, but his favourite artist is psytrance artist Bliss."
11,MusicGenre,What style of music does Charlie favor?,"Charlie's favorite style of music is rock, but he also enjoys psytrance music."
12,MusicGenre,What kind of music does Charlie like?,Charlie enjoys both rock and psytrance music.
13,MusicGenre,What type of music does Charlie like?,He enjoys both rock and psytrance music.
14,MusicGenre,What style of music does Charlie like?,"Rock is Charlie's favorite style of music, but he also enjoys psytrance music."
15,MusicGenre,What kind of music do Charlie like?,"Rock is Charlie's favorite style of music, but he also likes psytrance music."
16,MusicGenre,What type of music do Charlie like?,Rock is Charlie's favorite style of music.
17,MusicGenre,What kind of music does Charlie prefer?,"Rock is Charlie's favorite type of music, but he also likes psytrance music."
18,MusicGenre,What type of music does Charlie prefer?,"Rock is Charlie's favorite type of music, but he also enjoys psytrance music."
19,MusicGenre,What style of music do Charlie like?,Rock is Charlie's favorite type of music.
20,MusicGenre,What genre of music does Charlie like?,"His favorite style of music is rock, but he also likes psytrance music."
21,MusicGenre,Which style of music does Charlie like?,"His favorite style of music is rock, but he also enjoys psytrance music."
22,MusicGenre,Which kind of music does Charlie like best?,Charlie likes rock music best.
23,MusicGenre,Which kind of music does Charlie like?,Charlie likes to listen to rock music.
